,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
1720,$50 to $100 million (USD),Year Up,Non-Profit,NY,Company - Private,Social Assistance,"manager, analytics & strategy (ny or boston preferred)",2000.0,3.9,902,501 to 1000 Employees,0,1,47000.0
1721,Unknown / Non-Applicable,Mythical Games,Media,Remote,Company - Private,Video Games,senior software engineer / machine learning 100% remote,2018.0,5.0,1002,1 to 50 Employees,0,1,47000.0
1722,Unknown / Non-Applicable,Fidelity TalentSource,Business Services,NC,Company - Private,Staffing & Outsourcing,junior data scientist,1986.0,3.5,947,1001 to 5000 Employees,0,1,47000.0
1723,Unknown / Non-Applicable,Path-Tec,Business Services,GA,Company - Private,Staffing & Outsourcing,operations data scientist,1986.0,3.5,969,1001 to 5000 Employees,0,1,47000.0
1724,Unknown / Non-Applicable,Varsity Tutors,Information Technology,PA,Company - Private,Internet,doylestown data science tutor jobs,2007.0,4.1,607,201 to 500 Employees,0,1,40000.0
1725,Unknown / Non-Applicable,Varsity Tutors,Information Technology,IN,Company - Private,Internet,indianapolis data science tutor jobs,2007.0,4.1,607,201 to 500 Employees,0,1,40000.0
1726,Unknown / Non-Applicable,Path-Tec,Business Services,GA,Company - Private,Research & Development,operations data scientist,2005.0,,742,51 to 200 Employees,0,1,40000.0
1727,$10+ billion (USD),Freddie Mac,Finance,VA,Company - Public,Lending,quantitative analytics tech lead - economic modeling,1970.0,4.0,1085,5001 to 10000 Employees,0,1,40000.0
1728,$10+ billion (USD),Simplex,Finance,TX,Company - Public,Lending,principal machine learning engineer,1970.0,4.0,4401,5001 to 10000 Employees,0,1,40000.0
1729,$10+ billion (USD),Cognizant Technology Solutions,Business Services,AZ,Company - Public,Consulting,informatica developer - admin,1994.0,3.8,938,10000+ Employees,0,1,40000.0
1730,$10+ billion (USD),Cognizant Technology Solutions,Business Services,MA,Company - Public,,talend - etl developer,1976.0,3.8,3973,10000+ Employees,0,1,40000.0
1731,$10+ billion (USD),Infosys Limited,Information Technology,WA,Company - Public,IT Services,"data analyst - adla, adf, sql",1981.0,3.4,2069,10000+ Employees,0,1,40000.0
1732,$10+ billion (USD),Cognizant Technology Solutions,Business Services,VA,Company - Public,Consulting,informatica - teradata developer,1994.0,3.8,3,10000+ Employees,0,1,40000.0
1733,$10+ billion (USD),Found Professionals,Business Services,GA,Company - Public,Consulting,software engineer lead,1994.0,3.8,2816,10000+ Employees,0,1,40000.0
1734,,"Lloyd & McDaniel, PLC",Unknown / Non-Applicable,KY,Legal,Accounting & Legal,data analyst / client liaison,,2.3,741,51 to 200 Employees,0,1,40000.0
1735,,Tripalink,Unknown / Non-Applicable,CA,Legal,Accounting & Legal,financial data analyst (bilingual chinese),,2.3,716,51 to 200 Employees,0,1,40000.0
1736,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,senior software engineer – spark,2009.0,4.5,1049,501 to 1000 Employees,0,1,40000.0
1737,$25 to $50 million (USD),Firefighters First Credit Union,Finance,TX,Company - Private,Banks & Credit Unions,senior application engineer - fully remote (tx),1935.0,3.1,1131,51 to 200 Employees,0,1,40000.0
1738,$5 to $10 billion (USD),Peraton,Information Technology,CA,Company - Private,IT Services,data analyst with report development,2017.0,3.7,1130,10000+ Employees,0,1,40000.0
1739,$10+ billion (USD),Roche,Biotech & Pharmaceuticals,CA,Company - Public,Biotech & Pharmaceuticals,"software engineering manager, bioinformatics",1896.0,4.3,902,5001 to 10000 Employees,0,1,40000.0
1740,$10+ billion (USD),Cognizant Technology Solutions,Business Services,VA,Company - Public,Consulting,senior program manager - data analytics,1994.0,3.8,996,10000+ Employees,0,1,40000.0
