,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
3626,$10+ billion (USD),Facebook,Biotech & Pharmaceuticals,CA,Company - Private,Biotech & Pharmaceuticals,data analyst - ads revenue accounting,1863.0,4.1,1682,10000+ Employees,0,1,62500.0
3627,$10+ billion (USD),Community Health Center Association of Connecticut,Information Technology,CT,Company - Public,Internet,it data analyst,2004.0,4.4,1126,10000+ Employees,0,1,62500.0
3628,,Atlanta Regional Commission,Information Technology,GA,Company - Public,Internet,data visualization assistant – pt temp,2004.0,4.4,1126,10000+ Employees,0,1,62500.0
3629,,LeanTaaS,Unknown / Non-Applicable,GA,State & Regional Agencies,Government,data analyst (us remote),,3.9,103,51 to 200 Employees,0,1,62500.0
3630,,Passion,Unknown / Non-Applicable,GA,Religious Organizations,Non-Profit,data analyst,,4.3,375,51 to 200 Employees,0,1,62500.0
3631,,Argonne National Laboratory,Unknown / Non-Applicable,IL,Religious Organizations,Non-Profit,data scientist - life sciences,,4.3,424,51 to 200 Employees,0,1,62500.0
3632,$50 to $100 million (USD),"Fleetmaster Express, Inc.",Transportation & Logistics,VA,Company - Private,Trucking,entry level statistical analyst,1987.0,3.7,1423,201 to 500 Employees,0,1,62500.0
3633,$25 to $50 million (USD),University of California San Francisco,Education,CA,College / University,Colleges & Universities,data analyst,1864.0,4.1,914,10000+ Employees,0,1,62500.0
3634,$25 to $50 million (USD),Nike,Education,OR,College / University,Colleges & Universities,"data scientist, digital loss prevention",1864.0,4.1,1057,10000+ Employees,0,1,62500.0
3635,$10+ billion (USD),Luxoft,Manufacturing,NJ,Company - Public,Consumer Products Manufacturing,data scientist,1972.0,4.1,1057,10000+ Employees,0,1,62500.0
3636,Unknown / Non-Applicable,Ascension,Information Technology,TN,Company - Public,IT Services,analyst-data,2000.0,4.2,928,10000+ Employees,0,1,62500.0
3637,$10+ billion (USD),Elutions,Health Care,FL,Nonprofit Organization,Health Care Services & Hospitals,data analyst,1999.0,3.5,791,10000+ Employees,0,1,62500.0
3638,Unknown / Non-Applicable,Turo,Information Technology,CA,Company - Private,Internet,product data analyst,2009.0,4.7,895,201 to 500 Employees,0,1,62500.0
3639,Unknown / Non-Applicable,Ferguson,Information Technology,VA,Company - Private,Internet,data analyst,2009.0,4.7,1045,201 to 500 Employees,0,1,62500.0
3640,$10+ billion (USD),Capgemini,Information Technology,NJ,Company - Public,Enterprise Software & Network Solutions,data modeler - sports engine copy,1967.0,3.8,3,10000+ Employees,0,1,62500.0
3641,$10+ billion (USD),Williams College,Information Technology,MA,Company - Public,Enterprise Software & Network Solutions,data science librarian,1967.0,3.8,420,10000+ Employees,0,1,62500.0
3642,$1 to $5 million (USD),FedEx Services,Transportation & Logistics,VA,Company - Public,Logistics & Supply Chain,data analyst,2000.0,4.1,924,10000+ Employees,1,0,56160.0
3643,$10+ billion (USD),Capgemini,Information Technology,NV,Company - Public,Logistics & Supply Chain,data governance tool/analyst,2000.0,4.1,611,10000+ Employees,1,0,56160.0
3644,$10+ billion (USD),Accenture,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,data science specialist,1967.0,3.8,632,10000+ Employees,1,0,56160.0
3645,$10+ billion (USD),Delta,Business Services,GA,Company - Public,Consulting,specialist,1989.0,4.1,1092,10000+ Employees,1,0,56160.0
3646,$10+ billion (USD),Citi,Finance,TX,Company - Public,Investment Banking & Asset Management,"entry-level data positions (data engineer, machine learning & visualization)",1812.0,4.4,2117,,1,0,56160.0
3647,$10+ billion (USD),Nike,Finance,OR,Company - Public,Investment Banking & Asset Management,"director, communications algorithms data science",1812.0,3.9,982,10000+ Employees,1,0,56160.0
3648,$10+ billion (USD),Axcelis Technologies Inc.,Manufacturing,MA,Company - Public,Consumer Products Manufacturing,data scientist,1972.0,4.1,1280,10000+ Employees,1,0,56160.0
3649,$10+ billion (USD),PayPal,Information Technology,CA,Company - Public,Internet,data scientist 1,1995.0,3.8,901,501 to 1000 Employees,1,0,56160.0
3650,$10+ billion (USD),Capgemini,Information Technology,GA,Company - Public,Internet,big data dev,1998.0,4.1,1538,10000+ Employees,1,0,56160.0
3651,$10+ billion (USD),clubcarwash,Information Technology,VA,Company - Public,Enterprise Software & Network Solutions,data analyst,1967.0,3.8,289,10000+ Employees,1,0,56160.0
3652,$10+ billion (USD),Accenture,Business Services,VA,Company - Public,Consulting,federal - data visualization specialist,1989.0,,997,10000+ Employees,1,0,56160.0
3653,$10+ billion (USD),Nova Collective,Business Services,IL,Company - Public,Consulting,data analyst,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3654,$10+ billion (USD),Novartis,Biotech & Pharmaceuticals,MA,Company - Public,Biotech & Pharmaceuticals,data scientist (machine learning),1996.0,2.4,279,10000+ Employees,1,0,56160.0
3655,$10+ billion (USD),Microsoft,Biotech & Pharmaceuticals,WA,Company - Public,Biotech & Pharmaceuticals,data & applied scientist,1996.0,4.2,1682,10000+ Employees,1,0,56160.0
3656,$10+ billion (USD),SubjectWell,Information Technology,TX,Company - Public,Enterprise Software & Network Solutions,junior data analyst,1967.0,3.8,441,10000+ Employees,1,0,56160.0
3657,$10+ billion (USD),Facebook,Information Technology,CA,Company - Public,Internet,data analyst - ads revenue accounting,2004.0,4.4,3778,10000+ Employees,1,0,56160.0
3658,$10+ billion (USD),LeanTaaS,Information Technology,GA,Company - Public,Internet,data analyst (us remote),2004.0,4.4,1126,10000+ Employees,1,0,56160.0
3659,$25 to $50 million (USD),Bayer,Health Care,MO,Company - Private,Health Care Services & Hospitals,decision scientist co-op,2010.0,3.4,836,51 to 200 Employees,1,0,56160.0
3660,$10+ billion (USD),Atlanta Regional Commission,Biotech & Pharmaceuticals,GA,Company - Private,Biotech & Pharmaceuticals,data visualization assistant – pt temp,1863.0,4.1,375,10000+ Employees,1,0,56160.0
3661,$10+ billion (USD),Toyota,,TX,State & Regional Agencies,Government,junior data scientist,,3.9,103,51 to 200 Employees,1,0,56160.0
3662,$10+ billion (USD),Mayo Clinic,Manufacturing,MN,Company - Public,Transportation Equipment Manufacturing,associate data science analyst - dom ai and innovation,1957.0,3.9,853,10000+ Employees,1,0,56160.0
3663,$10+ billion (USD),Capgemini,Information Technology,NV,Company - Public,Enterprise Software & Network Solutions,data governance tool/analyst,1967.0,3.8,982,10000+ Employees,1,0,56160.0
3664,$10+ billion (USD),Accenture,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,data science specialist,1967.0,3.8,632,10000+ Employees,1,0,56160.0
3665,$10+ billion (USD),Delta,Travel & Tourism,GA,Company - Public,Airlines,specialist,1928.0,4.4,1092,10000+ Employees,1,0,56160.0
3666,$10+ billion (USD),Axcelis Technologies Inc.,Travel & Tourism,MA,Company - Public,Airlines,data scientist,1928.0,4.4,2117,10000+ Employees,1,0,56160.0
3667,$1 to $5 million (USD),FedEx Services,Transportation & Logistics,VA,Company - Public,Logistics & Supply Chain,data analyst,2000.0,,901,10000+ Employees,1,0,56160.0
3668,$1 to $5 million (USD),Nike,Transportation & Logistics,OR,Company - Public,Logistics & Supply Chain,"director, communications algorithms data science",2000.0,4.1,611,10000+ Employees,1,0,56160.0
3669,$10+ billion (USD),PayPal,Information Technology,CA,Company - Public,Internet,data scientist 1,1998.0,,279,10000+ Employees,1,0,56160.0
3670,$10+ billion (USD),Capgemini,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,big data dev,1967.0,3.8,997,10000+ Employees,1,0,56160.0
3671,$10+ billion (USD),Nova Collective,Information Technology,IL,Company - Public,Enterprise Software & Network Solutions,data analyst,1967.0,3.8,289,10000+ Employees,1,0,56160.0
3672,$10+ billion (USD),"VIZIO, Inc.",Information Technology,CO,Company - Public,Internet,data scientist,2004.0,4.4,1126,10000+ Employees,1,0,56160.0
3673,$10+ billion (USD),Accenture,Business Services,VA,Company - Public,Consulting,federal - data visualization specialist,1989.0,4.1,3,10000+ Employees,1,0,56160.0
3674,$10+ billion (USD),SubjectWell,Business Services,TX,Company - Public,Consulting,junior data analyst,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3675,$10+ billion (USD),Facebook,Information Technology,WA,Company - Public,Internet,"data scientist, analytics (university grad)",2004.0,,770,10000+ Employees,1,0,56160.0
3676,,Envision,Information Technology,MO,Company - Public,Internet,data scientist,2004.0,4.4,1014,10000+ Employees,1,0,56160.0
3677,$10+ billion (USD),Amazon.com Services LLC,Information Technology,CO,Company - Public,Internet,sde- measurement & data science- 2021,1994.0,3.0,1178,10000+ Employees,1,0,56160.0
3678,$10+ billion (USD),RMDS Lab,Information Technology,CA,Company - Public,Internet,data scientist for grmds.org,1994.0,3.8,3130,10000+ Employees,1,0,56160.0
3679,$25 to $50 million (USD),LeanTaaS,Health Care,GA,Company - Private,Health Care Services & Hospitals,data analyst (us remote),2010.0,,3130,51 to 200 Employees,1,0,56160.0
3680,$25 to $50 million (USD),Capgemini,Health Care,NY,Company - Private,Health Care Services & Hospitals,entry level data engineer - september start date,2010.0,3.4,836,51 to 200 Employees,1,0,56160.0
3681,$10+ billion (USD),Novartis,Information Technology,MA,Company - Public,Enterprise Software & Network Solutions,data scientist (machine learning),1967.0,3.8,441,10000+ Employees,1,0,56160.0
3682,$10+ billion (USD),Anjaman Technologies LLC,Biotech & Pharmaceuticals,Remote,Company - Public,Biotech & Pharmaceuticals,data analyst,1996.0,4.2,1682,10000+ Employees,1,0,56160.0
3683,$10+ billion (USD),Citi,Finance,TX,Company - Public,Investment Banking & Asset Management,"entry-level data positions (data engineer, machine learning & visualization)",1812.0,3.9,924,10000+ Employees,1,0,56160.0
3684,$10+ billion (USD),Capgemini,Finance,NV,Company - Public,Investment Banking & Asset Management,data governance tool/analyst,1812.0,3.9,982,10000+ Employees,1,0,56160.0
3685,$10+ billion (USD),Accenture,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,data science specialist,1967.0,3.8,632,10000+ Employees,1,0,56160.0
3686,$10+ billion (USD),Delta,Business Services,GA,Company - Public,Consulting,specialist,1989.0,4.1,1092,10000+ Employees,1,0,56160.0
3687,$1 to $5 million (USD),FedEx Services,Transportation & Logistics,VA,Company - Public,Logistics & Supply Chain,data analyst,2000.0,4.1,2117,10000+ Employees,1,0,56160.0
3688,$1 to $5 million (USD),Nike,Transportation & Logistics,OR,Company - Public,Logistics & Supply Chain,"director, communications algorithms data science",2000.0,4.1,611,10000+ Employees,1,0,56160.0
3689,$10+ billion (USD),Axcelis Technologies Inc.,Manufacturing,MA,Company - Public,Consumer Products Manufacturing,data scientist,1972.0,4.1,1280,10000+ Employees,1,0,56160.0
3690,$10+ billion (USD),PayPal,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,data scientist 1,1972.0,4.1,1280,10000+ Employees,1,0,56160.0
3691,$10+ billion (USD),Capgemini,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,big data dev,1967.0,3.8,3,10000+ Employees,1,0,56160.0
3692,$2 to $5 billion (USD),"VIZIO, Inc.",Information Technology,CO,Company - Public,Computer Hardware & Software,data scientist,2002.0,,246,501 to 1000 Employees,1,0,56160.0
3693,$2 to $5 billion (USD),Brilliant,Information Technology,IL,Company - Public,Computer Hardware & Software,data visualization analyst,2002.0,3.8,1042,501 to 1000 Employees,1,0,56160.0
3694,$10+ billion (USD),Accenture,Business Services,VA,Company - Public,Consulting,federal - data visualization specialist,1989.0,4.1,817,10000+ Employees,1,0,56160.0
3695,$10+ billion (USD),Facebook,Business Services,CA,Company - Public,Consulting,data analyst - ads revenue accounting,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3696,$10+ billion (USD),Toyota,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,junior data scientist,1957.0,4.4,1126,10000+ Employees,1,0,56160.0
3697,$10+ billion (USD),Atlanta Regional Commission,Manufacturing,GA,Company - Public,Transportation Equipment Manufacturing,data visualization assistant – pt temp,1957.0,3.9,853,10000+ Employees,1,0,56160.0
3698,$10+ billion (USD),Capgemini,Information Technology,NY,Company - Public,Enterprise Software & Network Solutions,entry level data engineer - september start date,1967.0,,103,10000+ Employees,1,0,56160.0
3699,$10+ billion (USD),Facebook,Information Technology,WA,Company - Public,Enterprise Software & Network Solutions,"data scientist, analytics (university grad)",1967.0,3.8,441,10000+ Employees,1,0,56160.0
3700,Unknown / Non-Applicable,Insurify,Insurance,NM,Company - Private,Insurance Agencies & Brokerages,data scientist,2013.0,4.7,3,1 to 50 Employees,1,0,56160.0
3701,Unknown / Non-Applicable,Bayer,Insurance,MO,Company - Private,Insurance Agencies & Brokerages,precision genomics data science co-op,2013.0,4.7,819,1 to 50 Employees,1,0,56160.0
3702,Unknown / Non-Applicable,LeanTaaS,Insurance,GA,Company - Private,Insurance Agencies & Brokerages,data analyst (us remote),2013.0,4.7,819,1 to 50 Employees,1,0,56160.0
3703,$10+ billion (USD),Novartis,Biotech & Pharmaceuticals,MA,Company - Public,Biotech & Pharmaceuticals,data scientist (machine learning),1996.0,,770,10000+ Employees,1,0,56160.0
3704,$10+ billion (USD),Amazon.com Services LLC,Biotech & Pharmaceuticals,CO,Company - Public,Biotech & Pharmaceuticals,sde- measurement & data science- 2021,1996.0,4.2,1682,10000+ Employees,1,0,56160.0
3705,$10+ billion (USD),Citi,Finance,TX,Company - Public,Investment Banking & Asset Management,"entry-level data positions (data engineer, machine learning & visualization)",1812.0,,924,10000+ Employees,1,0,56160.0
3706,$10+ billion (USD),Capgemini,Finance,NV,Company - Public,Investment Banking & Asset Management,data governance tool/analyst,1812.0,3.9,982,10000+ Employees,1,0,56160.0
3707,$10+ billion (USD),Accenture,Business Services,GA,Company - Public,Consulting,data science specialist,1989.0,4.1,632,10000+ Employees,1,0,56160.0
3708,$10+ billion (USD),Delta,Business Services,GA,Company - Public,Consulting,specialist,1989.0,4.1,1092,10000+ Employees,1,0,56160.0
3709,$10+ billion (USD),FedEx Services,Travel & Tourism,VA,Company - Public,Airlines,data analyst,1928.0,4.4,2117,10000+ Employees,1,0,56160.0
3710,$10+ billion (USD),Nike,Manufacturing,OR,Company - Public,Consumer Products Manufacturing,"director, communications algorithms data science",1972.0,4.1,3,10000+ Employees,1,0,56160.0
3711,$10+ billion (USD),Axcelis Technologies Inc.,Manufacturing,MA,Company - Public,Consumer Products Manufacturing,data scientist,1972.0,4.1,1280,10000+ Employees,1,0,56160.0
3712,$10+ billion (USD),PayPal,Information Technology,CA,Company - Public,Internet,data scientist 1,1998.0,4.1,901,10000+ Employees,1,0,56160.0
3713,$10+ billion (USD),FAAZ Consulting,Information Technology,DC,Company - Public,Internet,sas data scientist,1998.0,4.1,1538,10000+ Employees,1,0,56160.0
3714,$10+ billion (USD),Capgemini,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,big data dev,1967.0,,997,10000+ Employees,1,0,56160.0
3715,$10+ billion (USD),Pivosys Inc.,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,python developer -with data science experience,1967.0,3.8,289,10000+ Employees,1,0,56160.0
3716,$2 to $5 billion (USD),"VIZIO, Inc.",Information Technology,CO,Company - Public,Computer Hardware & Software,data scientist,2002.0,3.8,246,501 to 1000 Employees,1,0,56160.0
3717,$10+ billion (USD),Facebook,Business Services,CA,Company - Public,Consulting,data analyst - ads revenue accounting,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3718,$10+ billion (USD),Toyota,Business Services,TX,Company - Public,Consulting,junior data scientist,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3719,$10+ billion (USD),Atlanta Regional Commission,Manufacturing,GA,Company - Public,Transportation Equipment Manufacturing,data visualization assistant – pt temp,1957.0,4.1,882,,1,0,56160.0
3720,$10+ billion (USD),Capgemini,Manufacturing,NY,Company - Public,Transportation Equipment Manufacturing,entry level data engineer - september start date,1957.0,3.9,853,10000+ Employees,1,0,56160.0
3721,$10+ billion (USD),Facebook,Information Technology,WA,Company - Public,Internet,"data scientist, analytics (university grad)",2004.0,4.4,3,10000+ Employees,1,0,56160.0
3722,$10+ billion (USD),Insurify,Information Technology,NM,Company - Public,Internet,data scientist,2004.0,4.4,1014,10000+ Employees,1,0,56160.0
3723,$10+ billion (USD),Bayer,Biotech & Pharmaceuticals,MO,Company - Private,Biotech & Pharmaceuticals,precision genomics data science co-op,2013.0,4.7,819,1 to 50 Employees,1,0,56160.0
3724,$10+ billion (USD),LeanTaaS,Biotech & Pharmaceuticals,GA,Company - Private,Biotech & Pharmaceuticals,data analyst (us remote),1863.0,4.1,388,10000+ Employees,1,0,56160.0
3725,$25 to $50 million (USD),Anjaman Technologies LLC,Health Care,Remote,Company - Private,Health Care Services & Hospitals,data analyst,2010.0,3.4,836,51 to 200 Employees,1,0,56160.0
3726,$10+ billion (USD),Novartis,Biotech & Pharmaceuticals,MA,Company - Public,Biotech & Pharmaceuticals,data scientist (machine learning),1996.0,4.2,770,10000+ Employees,1,0,56160.0
3727,$10+ billion (USD),Amazon.com Services LLC,Biotech & Pharmaceuticals,CO,Company - Public,Biotech & Pharmaceuticals,sde- measurement & data science- 2021,1996.0,4.2,1682,10000+ Employees,1,0,56160.0
3728,$10+ billion (USD),Urbane Systems LLC,Information Technology,VA,Company - Public,Internet,data scientist,1994.0,3.8,3130,10000+ Employees,1,0,56160.0
3729,$10+ billion (USD),Accenture,Business Services,GA,Company - Public,Consulting,data science specialist,1989.0,,924,10000+ Employees,1,0,56160.0
3730,$10+ billion (USD),Capgemini,Business Services,NV,Company - Public,Consulting,data governance tool/analyst,1989.0,4.1,1092,10000+ Employees,1,0,56160.0
3731,$10+ billion (USD),Delta,Travel & Tourism,GA,Company - Public,Airlines,specialist,1967.0,3.8,632,10000+ Employees,1,0,56160.0
3732,$10+ billion (USD),Nike,Travel & Tourism,OR,Company - Public,Airlines,"director, communications algorithms data science",1928.0,4.4,2117,10000+ Employees,1,0,56160.0
3733,$10+ billion (USD),FedEx Services,Travel & Tourism,VA,Company - Public,Airlines,data analyst,1928.0,4.4,2117,10000+ Employees,1,0,56160.0
3734,$100 to $500 million (USD),Axcelis Technologies Inc.,Manufacturing,MA,Company - Public,Industrial Manufacturing,data scientist,1995.0,3.8,3,501 to 1000 Employees,1,0,56160.0
3735,$10+ billion (USD),PayPal,Information Technology,CA,Company - Public,Internet,data scientist 1,1998.0,3.8,901,10000+ Employees,1,0,56160.0
3736,$10+ billion (USD),Nova Collective,Information Technology,IL,Company - Public,Internet,data analyst,1998.0,4.1,1538,10000+ Employees,1,0,56160.0
3737,$10+ billion (USD),Capgemini,Information Technology,GA,Company - Public,Enterprise Software & Network Solutions,big data dev,1967.0,,246,10000+ Employees,1,0,56160.0
3738,$10+ billion (USD),clubcarwash,Information Technology,VA,Company - Public,Enterprise Software & Network Solutions,data analyst,1967.0,3.8,289,10000+ Employees,1,0,56160.0
3739,$10+ billion (USD),Toyota,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,junior data scientist,1957.0,3.9,3,10000+ Employees,1,0,56160.0
3740,$10+ billion (USD),Atlanta Regional Commission,Manufacturing,GA,Company - Public,Transportation Equipment Manufacturing,data visualization assistant – pt temp,1957.0,3.9,853,10000+ Employees,1,0,56160.0
3741,,SubjectWell,Unknown / Non-Applicable,TX,State & Regional Agencies,Government,junior data analyst,,3.9,853,51 to 200 Employees,1,0,56160.0
3742,$2 to $5 billion (USD),"VIZIO, Inc.",Information Technology,CO,Company - Public,Computer Hardware & Software,data scientist,2002.0,4.5,103,501 to 1000 Employees,1,0,56160.0
3743,$10+ billion (USD),Accenture,Business Services,VA,Company - Public,Consulting,federal - data visualization specialist,1989.0,4.1,1042,10000+ Employees,1,0,56160.0
3744,$10+ billion (USD),Capgemini,Business Services,NY,Company - Public,Consulting,entry level data engineer - september start date,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3745,$25 to $50 million (USD),LeanTaaS,Health Care,GA,Company - Public,,data analyst (us remote),1967.0,3.8,441,10000+ Employees,1,0,56160.0
3746,$25 to $50 million (USD),RMDS Lab,Health Care,CA,Company - Private,Health Care Services & Hospitals,data scientist for grmds.org,2010.0,3.4,836,51 to 200 Employees,1,0,56160.0
3747,$10+ billion (USD),Facebook,Information Technology,CA,Company - Public,Internet,"data scientist, analytics (university grad)",2004.0,4.4,773,10000+ Employees,1,0,56160.0
3748,$10+ billion (USD),Amazon.com Services LLC,Information Technology,CO,Company - Public,Internet,sde- measurement & data science- 2021,2004.0,4.4,1014,10000+ Employees,1,0,56160.0
3749,$10+ billion (USD),Envision,Information Technology,MO,Company - Public,Internet,data scientist,1994.0,3.8,3130,10000+ Employees,1,0,56160.0
3750,$10+ billion (USD),Bayer,Information Technology,MO,Company - Public,Internet,precision genomics data science co-op,1994.0,3.8,3130,10000+ Employees,1,0,56160.0
3751,$10+ billion (USD),Salesforce,Information Technology,WA,Company - Public,Computer Hardware & Software,data science engineer,1999.0,4.4,3,10000+ Employees,1,0,56160.0
3752,$10+ billion (USD),Nike,Manufacturing,OR,Company - Public,,"data scientist, digital loss prevention",1999.0,4.4,1101,10000+ Employees,1,0,56160.0
3753,$10+ billion (USD),Accenture,Business Services,GA,Company - Public,Consulting,data science specialist,1989.0,4.1,1092,10000+ Employees,1,0,56160.0
3754,$10+ billion (USD),Citi,Finance,TX,Company - Public,Investment Banking & Asset Management,"entry-level data positions (data engineer, machine learning & visualization)",1812.0,,1092,10000+ Employees,1,0,56160.0
3755,$10+ billion (USD),Capgemini,Finance,NV,Company - Public,Investment Banking & Asset Management,data governance tool/analyst,1812.0,3.9,982,10000+ Employees,1,0,56160.0
3756,$10+ billion (USD),LOCKHEED MARTIN CORPORATION,Information Technology,TX,Company - Public,Enterprise Software & Network Solutions,data scientist associate - level 1,1967.0,,924,10000+ Employees,1,0,56160.0
3757,$10+ billion (USD),Capgemini,Information Technology,NY,Company - Public,Enterprise Software & Network Solutions,entry level data engineer - september start date,1967.0,3.8,289,10000+ Employees,1,0,56160.0
3758,$10+ billion (USD),Microsoft,Information Technology,WA,Company - Public,Computer Hardware & Software,data & applied scientist,1975.0,4.4,441,10000+ Employees,1,0,56160.0
3759,$10+ billion (USD),PayPal,Information Technology,CA,Company - Public,Internet,data scientist 1,1998.0,3.8,246,10000+ Employees,1,0,56160.0
3760,$10+ billion (USD),Accenture,Business Services,VA,Company - Public,Consulting,federal - data visualization specialist,1989.0,,1538,10000+ Employees,1,0,56160.0
3761,$10+ billion (USD),Salt Lake Community College,Business Services,UT,Company - Public,Consulting,data engineer 1,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3762,$10+ billion (USD),Toyota,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,junior data scientist,1957.0,3.9,1751,10000+ Employees,1,0,56160.0
3763,$10+ billion (USD),FedEx Services,Manufacturing,VA,Company - Public,Transportation Equipment Manufacturing,data analyst,1957.0,3.9,853,10000+ Employees,1,0,56160.0
3764,$10+ billion (USD),Dell Technologies,Information Technology,TX,Company - Public,IT Services,sw engineering technologist - ml/ai,1957.0,3.9,853,10000+ Employees,1,0,56160.0
3765,$10+ billion (USD),Delta,Information Technology,GA,Company - Public,IT Services,specialist,1984.0,4.2,991,10000+ Employees,1,0,56160.0
3766,$10+ billion (USD),Argonne National Laboratory,Travel & Tourism,IL,Company - Public,IT Services,data scientist - life sciences,1984.0,4.2,991,10000+ Employees,1,0,56160.0
3767,$10+ billion (USD),Facebook,Information Technology,WA,Company - Public,Internet,"data scientist, analytics (university grad)",2004.0,4.4,1423,10000+ Employees,1,0,56160.0
3768,$10+ billion (USD),Bayer,Information Technology,MO,Company - Public,Internet,precision genomics data science co-op,2004.0,4.4,1014,10000+ Employees,1,0,56160.0
3769,$10+ billion (USD),Pinnacle Group,Biotech & Pharmaceuticals,TN,Company - Private,Biotech & Pharmaceuticals,data engineer (remote 667-1),1863.0,4.1,388,10000+ Employees,1,0,56160.0
3770,$10+ billion (USD),Amazon.com Services LLC,Information Technology,CO,Company - Public,Internet,sde- measurement & data science- 2021,1994.0,3.8,110,10000+ Employees,1,0,56160.0
3771,$10+ billion (USD),Amazon.com Services LLC,Information Technology,WA,Company - Public,Internet,data engineer,1994.0,3.8,3130,10000+ Employees,1,0,56160.0
3772,$10+ billion (USD),Salesforce,Information Technology,WA,Company - Public,Computer Hardware & Software,data science engineer,1999.0,4.4,4804,10000+ Employees,1,0,56160.0
3773,$10+ billion (USD),Atlanta Regional Commission,Information Technology,GA,Company - Public,Computer Hardware & Software,data visualization assistant – pt temp,1999.0,4.4,1101,10000+ Employees,1,0,56160.0
3774,$10+ billion (USD),FAAZ Consulting,Information Technology,DC,Company - Public,Computer Hardware & Software,sas data scientist,1999.0,4.4,1101,10000+ Employees,1,0,56160.0
3775,$25 to $50 million (USD),Addx Corporation,Information Technology,VA,Company - Private,IT Services,statistical programmer,2002.0,3.6,103,51 to 200 Employees,1,0,56160.0
3776,$5 to $10 billion (USD),S&P Global,Finance,MT,Company - Public,Financial Analytics & Research,data scientist,,3.6,905,51 to 200 Employees,1,0,56160.0
3777,$5 to $10 billion (USD),Atlassian,Finance,NY,Company - Public,Financial Analytics & Research,"data scientist, product analytics (remote - u.s.)",1888.0,4.1,6048,10000+ Employees,1,0,56160.0
3778,$10+ billion (USD),Accenture,Business Services,GA,Company - Public,Consulting,data science specialist,1989.0,4.1,1092,10000+ Employees,1,0,56160.0
3779,$10+ billion (USD),Citi,Finance,TX,Company - Public,Investment Banking & Asset Management,"entry-level data positions (data engineer, machine learning & visualization)",1812.0,,1092,10000+ Employees,1,0,56160.0
3780,$10+ billion (USD),Treeco Group,Finance,IL,Company - Public,Investment Banking & Asset Management,data engineer,1812.0,3.9,982,10000+ Employees,1,0,56160.0
3781,$10+ billion (USD),Capgemini,Information Technology,NV,Company - Public,Enterprise Software & Network Solutions,data governance tool/analyst,1967.0,3.8,924,10000+ Employees,1,0,56160.0
3782,$10+ billion (USD),RMDS Lab,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,data scientist for grmds.org,1967.0,3.8,632,10000+ Employees,1,0,56160.0
3783,$10+ billion (USD),Capgemini,Information Technology,NY,Company - Public,Computer Hardware & Software,entry level data engineer - september start date,1975.0,4.4,2046,10000+ Employees,1,0,56160.0
3784,$10+ billion (USD),PayPal,Information Technology,CA,Company - Public,Internet,data scientist 1,1998.0,4.1,3,10000+ Employees,1,0,56160.0
3785,$10+ billion (USD),LOCKHEED MARTIN CORPORATION,,TX,Company - Public,Internet,data scientist associate - level 1,1998.0,4.1,1538,10000+ Employees,1,0,56160.0
3786,$10+ billion (USD),Thermo Fisher Scientific,Biotech & Pharmaceuticals,NC,Company - Public,Biotech & Pharmaceuticals,qc scientist 1 - data auditor,1902.0,3.8,718,10000+ Employees,1,0,56160.0
3787,,Accenture,Biotech & Pharmaceuticals,VA,Company - Public,Biotech & Pharmaceuticals,federal - data visualization specialist,1902.0,3.8,718,10000+ Employees,1,0,56160.0
3788,$10+ billion (USD),Salt Lake Community College,Business Services,UT,Company - Public,Consulting,data engineer 1,1989.0,4.1,882,10000+ Employees,1,0,56160.0
3789,$50 to $100 million (USD),Toyota,Education,TX,College / University,Colleges & Universities,junior data scientist,1948.0,4.2,1751,1001 to 5000 Employees,1,0,56160.0
3790,$10+ billion (USD),FedEx Services,Manufacturing,VA,Company - Public,Transportation Equipment Manufacturing,data analyst,1957.0,3.9,853,10000+ Employees,1,0,56160.0
3791,$1 to $5 million (USD),Pinnacle Group,Transportation & Logistics,TN,Company - Public,Logistics & Supply Chain,data engineer (remote 667-1),2000.0,4.1,611,10000+ Employees,1,0,56160.0
3792,$10+ billion (USD),Facebook,Information Technology,WA,Company - Public,Internet,"data scientist, analytics (university grad)",1989.0,1.5,110,51 to 200 Employees,1,0,56160.0
